"brussels",1019022,50.8333,4.33333
"aurangabad",1016520,19.8833,75.3333
"qom",1011103,34.6401,50.8764
"volgograd",1010331,48.7194,44.5018
"shenzhen",1002592,22.5333,114.133
"nova iguacu",1002129,-22.7592,-43.4319
"rongcheng",1001985,23.5289,116.364
"odesa",1001553,46.4639,30.7386
"kitakyushu",997545,33.8333,130.833
"sholapur",997358,17.6833,75.9167
"baoding",995652,38.8511,115.49
"benxi",987717,41.2886,123.765
"zapopan",987555,20.7167,-103.4
"birmingham",984336,52.4667,-1.91667
"perm",982428,58.0093,56.2841
"naples",981284,40.8333,14.25
"srinagar",975926,34.0922,74.8022
"zaria",975228,11.1132,7.72518
"guatemala city",973208,14.6211,-90.5269
"guatemala",973208,14.6211,-90.5269
"mendoza",973047,-32.8908,-68.8272
"cologne",968823,50.9333,6.95
"calgary",968475,51.0833,-114.083
"port elizabeth",967722,-33.918,25.5701
"maceio",955010,-9.66667,-35.7167
"cartagena",952036,10.3997,-75.5144
"changzhou",949018,31.7833,119.967
"ranchi",945079,23.35,85.3333
"marrakesh",942631,31.6315,-8.00828
"sao goncalo",939101,-22.8003,-43.0256
"monrovia",935427,6.31056,-10.8047
"irbil",932854,36.19,44.0089
"jodhpur",921540,26.2867,73.03
"sao luis",917252,-2.51667,-44.2667
"chandigarh",914374,30.7343,76.7933
"madurai",909988,9.93333,78.1167
"krasnoyarsk",907460,56.0091,92.8628
"huaibei",903039,33.9744,116.792
"cochabamba",900440,-17.3833,-66.15
"guwahati",899132,26.1833,91.7333
"aba",897613,5.10658,7.36667
"san jose",897460,37.3394,-121.894
"bulawayo",897249,-20.15,28.5833
"pingdingshan",889675,33.7385,113.301
"detroit",884941,42.3314,-83.0458
"gwalior",882551,26.2236,78.1792
"qiqihar",882364,47.3408,123.967
"klang",879887,3.03333,101.45
"konya",876004,37.8714,32.4846
"mbuji-mayi",874974,-6.15,23.6
"vijayawada",874684,16.5167,80.6167
"ottawa",874433,45.4167,-75.7
"maisuru",868385,12.3072,76.6497
"wenzhou",865672,27.9994,120.667
"saratov",863734,51.5406,46.0086
"ogbomosho",861303,8.13333,4.26667
"ahvaz",854980,31.3203,48.6693
"tegucigalpa",850961,14.1,-87.2167
"turin",846489,45.05,7.66667
"naucalpan",846222,19.4794,-99.2383
"ulaanbaatar",844786,47.9167,106.917
"arequipa",844000,-16.3989,-71.535
"voronezh",840590,51.672,39.1843
"padang",840458,-0.953154,100.368
"hubli",840285,15.35,75.1667
"lvov",830000,49.8407,24.0305
"tucuman",828402,-26.8241,-65.2226
"tangier",825316,35.7806,-5.81365
"edmonton",822319,53.55,-113.5
"duque de caxias",818339,-22.7903,-43.325
"jos",816876,9.91667,8.9
"ilorin",814246,8.5,4.55
"la paz",812819,-16.5,-68.15
"barquisimeto",809564,10.0739,-69.3228
"oslo",808690,59.9167,10.75
"nanning",803788,22.8167,108.317
"johor bahru",802525,1.4655,103.758
"mombasa",799727,-4.05,39.6667
"asgabat",797900,37.95,58.3833
"jacksonville",797557,30.3319,-81.6558
"zaporizhzhya",796213,47.8229,35.1903
"marseille",792823,43.2854,5.37606
"kathmandu",790612,27.7167,85.3167
"jalandhar",785234,31.3256,75.5792
"thiruvananthapuram",784223,8.50694,76.9569
"sakai",782347,34.5833,135.467
"anyang",781129,36.0994,114.329
"selam",778462,11.65,78.1667
"tiruchchirappalli",775551,10.805,78.6856
"hohhot",774477,40.8106,111.652
"niamey",774245,13.6667,1.78333
"niamey",774245,13.5167,2.11667
"indianapolis",773283,39.7683,-86.1581
"valencia",769897,39.4667,-0.366667
"bogor",769328,-6.59444,106.789
"xining",767531,36.6167,101.767
"kermanshah",766742,34.3142,47.065
"liuzhou",763168,24.3126,109.389
"kota",763141,25.1833,75.8333
"natal",763057,-5.78333,-35.2167
"bhubaneswar",762307,20.2333,85.8333
"qinhuangdao",759718,39.9317,119.588
"hengyang",759602,26.8881,112.615
"antalya",758603,36.9081,30.6956
"cebu",758597,10.3111,123.892
"islamabad",756105,33.69,73.0551
"cracow",755050,50.0833,19.9167
"aligarh",753280,27.8833,78.0833
"pietermaritzburg",750864,-29.6168,30.3928
"taian",750340,36.1853,117.12
"trujillo",750004,-8.11667,-79.0333
"malang",746780,-7.9797,112.63
"ciudad guayana",746606,8.35333,-62.6528
"amsterdam",745811,52.35,4.91667
"kigali",745526,-1.95361,30.0606
"bareli",745509,28.35,79.4167
"teresina",744526,-5.08333,-42.8167
"xinxiang",743601,35.3089,113.867
"sao bernardo do campo",743386,-23.7,-46.55
"hegang",743307,47.4,130.367
"riga",742570,56.95,24.1
"columbus",736836,39.9611,-82.9989
"oyo",736113,7.85,3.93333
"tainan",734314,22.9933,120.204
"quetta",733970,30.199,67.0097
"san francisco",732072,37.775,-122.418
"campo grande",729164,-20.45,-54.6167
"athens",729139,37.9833,23.7333
"guadalupe",724949,25.6833,-100.25
"cucuta",721406,7.89391,-72.5078
"moradabad",721210,28.8333,78.7833
"langfang",720119,39.5097,116.695
"ningbo",719867,29.8782,121.549
"yantai",719332,37.5333,121.4
"tolyatti",718495,53.5303,49.3461
"merida",717196,20.9667,-89.6167
"tlalnepantla",715798,19.5269,-99.2217
"jerusalem",714685,31.78,35.23
"chisinau",713805,47.0056,28.8575
"nouakchott",709835,18.0864,-15.9753
"zhuzhou",709358,27.6919,113.152
"chihuahua",708292,28.6333,-106.083
"bhiwandi",707090,19.3,73.0667
"jaboatao",702632,-8.11667,-35.0167
"rajshahi",700206,24.3667,88.6
"zagreb",698967,45.8,16
"sarajevo",696726,43.85,18.3833
"tunis",692816,36.8061,10.1711
"zhangjiakou",692602,40.81,114.879
"cotonou",690584,6.35,2.43333
"zigong",689961,29.3416,104.777
"fuxin",689050,42.0156,121.659
"liaoyang",687890,41.2261,123.056
"sevilla",686647,37.3824,-5.97613
"la plata",684318,-34.9215,-57.9545
"bangui",684190,4.36667,18.5833
"raipur",680066,21.2333,81.6333
"austin",678368,30.2669,-97.7428
"osasco",677869,-23.5667,-46.7833
"san luis potosi",677726,22.15,-100.983
"gorakhpur",674312,26.755,83.3739
"ipoh",673346,4.5841,101.083
"zhangdian",669770,36.7906,118.063
"palermo",669582,38.1167,13.3667
"puyang",666322,35.7028,115.005
"nantong",666251,32.0303,120.875
"mudanjiang",665915,44.5833,129.6
"santo andre",662387,-23.6667,-46.5167
"aguascalientes",658193,21.8833,-102.3
"agadir",656110,30.4207,-9.59316
"hamilton",653637,43.25,-79.8333
"enugu",653436,6.4402,7.4943
"kryvyy rih",652376,47.9097,33.3804
"acapulco",652160,16.85,-99.9167
"joao pessoa",650896,-7.11667,-34.8667
"benghazi",650629,32.1167,20.0667
"krasnodar",649860,45.0488,38.9725
"shaoyang",649452,26.9659,111.241
"guilin",649352,25.2819,110.286
"sagamihara",648811,35.5531,139.354
"colombo",648119,6.93194,79.8478
"frankfurt",648034,50.1167,8.68333
"lilongwe",646738,-13.9833,33.7833
"wahran",646025,35.6911,-0.641667
"mar del plata",645771,-38.0023,-57.5575
"quebec",645623,46.8,-71.25
"memphis",641608,35.1494,-90.0489
"ulyanovsk",640685,54.3282,48.3866
"zhanjiang",637790,21.2815,110.343
"yogyakarta",636711,-7.78278,110.361
"zaragoza",635509,41.6453,-0.884861
"wroclaw",634893,51.1,17.0333
"zhenjiang",632552,32.2092,119.434
"winnipeg",632069,49.8833,-97.1667
"dandong",631973,40.1292,124.395
"izhevsk",631044,56.8498,53.2045
"shaoguan",628749,24.8,113.583
"yancheng",628441,33.3856,120.125
"foshan",627348,23.0268,113.131
"contagem",627132,-19.9167,-44.1
"bhilai",625203,21.2167,81.4333
"jibuti",623891,11.595,43.1481
"saltillo",621270,25.4167,-101
"fort worth",618119,32.7253,-97.3206
"jamshedpur",616404,22.8,86.1833
"haikou",615835,20.0458,110.342
"sao jose dos campos",613776,-23.1833,-45.8833
"mersin",612540,36.7328,34.6442
"taizhou",612356,32.4933,119.911
"queretaro",611803,20.6,-100.383
"xingtai",611739,37.0631,114.494
"baltimore",610892,39.2903,-76.6125
"glasgow",610271,55.8333,-4.25
"yaroslavl",606735,57.6198,39.8554
"benoni",605363,-26.1909,28.3113
"hamamatsu",605105,34.7,137.733
"kochi",604751,9.96667,76.2333
"jinzhou",604269,41.1078,121.142
"amravati",603885,20.9333,77.75
"rotterdam",603851,51.9167,4.5
"abu dhabi",603687,24.4667,54.3667
"hai phong",602718,20.8561,106.682
"orumiyeh",602443,37.5553,45.0724
"kirkuk",601442,35.4681,44.3922
"barnaul",599586,53.3606,83.7636
"charlotte",598351,35.2269,-80.8433
"el paso",597181,31.7586,-106.486
"luancheng",597130,37.8792,114.652
"mexicali",597124,32.6519,-115.468
"hermosillo",595833,29.0667,-110.967
"rasht",594619,37.2808,49.5832
"dortmund",594255,51.5167,7.45
"kayseri",593164,38.7322,35.4853
"abeokuta",593140,7.15,3.35
"morelia",592820,19.7,-101.117
"stuttgart",591688,48.7667,9.18333
"yingkou",591159,40.6373,122.503
"chimalhuacan",590165,19.4167,-98.9
"zhangzhou",589831,24.5133,117.656
"vladivostok",587029,43.1281,131.901
"irkutsk",586702,52.2978,104.296
"belfast",585994,54.5833,-5.93333
"genoa",585815,44.4167,8.95
"blantyre",584870,-15.7833,35
"kingston",583999,18,-76.8
"chiclayo",582597,-6.77361,-79.8417
"culiacan",582489,24.7994,-107.39
"hachioji",579402,35.6558,139.324
"milwaukee",579180,43.0389,-87.9064
"xiamen",578337,24.4798,118.082
"khabarovsk",578307,48.4808,135.093
"libreville",578156,0.383333,9.45
"kerman",577547,30.2832,57.0788
"dusseldorf",577139,51.2167,6.76667
"kaifeng",576915,34.7442,114.419
"essen",576914,51.45,7.01667
"bengbu",576648,32.9408,117.361
"bikaner",576056,28.0167,73.3
"banjarmasin",572910,-3.33333,114.583
"shihezi",572772,44.3,86.0333
"bouake",572149,7.69385,-5.03031
"bucaramanga",571827,7.12539,-73.1198
"boston",571281,42.3583,-71.0603
"kuching",570579,1.55,110.333
"poznan",570352,52.4167,16.9667
"seattle",569369,47.6064,-122.331
"veracruz",568336,19.2,-96.1333
"asmara",563948,15.3333,38.9333
"sokoto",563899,13.048,5.21428
"uberlandia",563545,-18.9167,-48.3
"onitsha",561106,6.14543,6.78845
"funabashi",560754,35.6931,139.983
"sorocaba",558874,-23.4833,-47.45
"helsinki",558457,60.1756,24.9342
"malaga",557875,36.7267,-4.4348
"warangal",557864,18,79.5833
"denver",555981,39.7392,-104.984
"santiago",555911,19.45,-70.7
"santiago de cuba",555878,20.0247,-75.8219
"surakarta",555368,-7.55611,110.832
"huaiyin",555230,33.5886,119.019
"bhavnagar",555014,21.7667,72.15
"bahawalpur",552765,29.4,71.6833
"washington",552433,38.895,-77.0367
"ribeirao preto",551278,-21.1667,-47.8
"aden",550744,12.7794,45.0367
"jiamusi",549549,46.8333,130.35
"antipolo",549541,14.5886,121.176
"salta",548288,-24.7859,-65.4117
"neijiang",546854,29.5835,105.062
"bremen",546429,53.0833,8.8
"sharjah",543942,25.3573,55.4033
"matola",543907,-25.9622,32.4589
"dushanbe",543105,38.56,68.7739
"sargodha",542761,32.0836,72.6711
"vilnius",542381,54.6833,25.3167
"cancun",542156,21.1667,-86.8333
"portland",540513,45.5236,-122.675
"maanshan",540198,31.6957,118.498
"las vegas",540111,36.175,-115.136
"yangzhou",539715,32.3972,119.436
"novokuznetsk",539622,53.7557,87.1099
"kisangani",539164,0.516667,25.2
"port said",538377,31.2667,32.3
"warri",536068,5.51667,5.75
"tanggu",535298,39.0211,117.647
"oklahoma city",532950,35.4675,-97.5161
"jiangmen",532419,22.5833,113.083
"nashville",530852,36.1658,-86.7844
"beira",530706,-19.8436,34.8389
"guntur",530636,16.3,80.45
"yueyang",528140,29.1408,113.111
"cangzhou",527681,38.3167,116.867
"san salvador",526013,13.7086,-89.2031
"torreon",524084,25.55,-103.433
"dehra dun",522135,30.3167,78.0333
"cuiaba",521961,-15.5833,-56.0833
"lopez mateos",521056,19.5583,-99.2614
"petaling jaya",520712,3.08333,101.65
"ryazan",520177,54.6269,39.6916
"hanover",519144,52.3667,9.71667
"tyumen",519124,57.1522,65.5272
"durgapur",518922,23.4833,87.3167
"tucson",518907,32.2217,-110.926
"ajmer",517947,26.45,74.6333
"lisbon",517798,38.7167,-9.13333
"changde",517780,29.0464,111.678
"jiaozuo",517540,35.2397,113.233
"ulhasnagar",516625,19.2167,73.15
"kolhapur",516184,16.7,74.2167
"lipetsk",515659,52.6031,39.5708
"shiliguri",515623,26.7161,88.4236
"goteborg",515253,57.7167,11.9667
"eskisehir",515155,39.7767,30.5206
"hamadan",514134,34.7992,48.5146
"penza",512607,53.2007,45.0046
"tembisa",511671,-25.9964,28.2268
"makati",510383,14.5667,121.033
"asuncion",508797,-25.2667,-57.6667
"san nicolas de los garza",507837,25.75,-100.3
"wuhu",507524,31.1461,118.571
"toluca",505903,19.2883,-99.6672
"niigata",505276,37.9022,139.024
"duisburg",505271,51.4333,6.75
"asansol",504320,23.6833,86.9833
"arak",503673,34.0917,49.6892
"astrakhan",502537,46.3497,48.0408
"zhuhai",501199,22.2769,113.568
"gold coast",501175,-28.0003,153.431
"oshogbo",499444,7.76667,4.56667
"shashi",498780,30.3072,112.245
"reynosa",498670,26.0833,-98.2833
"makhachkala",497967,42.9764,47.5024
"newcastle",497961,-32.9278,151.784
"nuremberg",497593,49.4478,11.0683
"tlaquepaque",493667,20.65,-103.317
"leipzig",492637,51.3,12.3333
"jamnagar",492087,22.4667,70.0667
"panchiao",491891,25.0392,121.525
"aracaju",490184,-10.9167,-37.0667
"san pedro sula",489506,15.5,-88.0333
"suez",488124,29.9667,32.55
"albuquerque",487378,35.0844,-106.651
"tomsk",485523,56.4942,84.9742
"nanded",485150,19.15,77.3333
"saharanpur",484921,29.9667,77.55
"gulbarga",483655,17.3333,76.8333
"bhatpara",483175,22.8714,88.4089
"long beach",482618,33.7669,-118.188
"feira de santana",481926,-12.25,-38.95
"shah alam",481670,3.08333,101.533
"himeji",481496,34.8167,134.7
"tuxtla gutierrez",481143,16.75,-93.1167
"gomel",481000,52.4417,30.9833
"dresden",480801,51.05,13.75
"hargeysa",478283,9.58333,44.0667
"yazd",477926,31.8972,54.3675
"sialkot",477537,32.5101,74.5431
"kemerovo",477096,55.3333,86.0833
"yichang",476725,30.7714,111.321
"the hague",476587,52.0833,4.3
"cuautitlan izcalli",475199,19.6469,-99.2467
"yinchuan",475101,38.4681,106.273
"skopje",474887,42,21.4333
"vereeniging",474680,-26.6731,27.9261
"maoming",473251,21.65,110.9
"da nang",472255,16.0678,108.221
"londrina",471836,-23.3,-51.15
"jiaojiang",470804,28.6803,121.443
"matsudo",470287,35.7833,139.9
"juiz de fora",470201,-21.7517,-43.3528
"san juan",469958,-31.5375,-68.5364
"liverpool",468946,53.4167,-3
"nishinomiya",468929,34.7167,135.333
"tula",468830,54.2021,37.6443
"kawaguchi",468574,35.805,139.721
"sacramento",467898,38.5817,-121.493
"zunyi",466292,27.5431,106.823
"jiaxing",466101,30.7522,120.75
"belford roxo",466101,-22.762,-43.4047
"jammu",465600,32.7333,74.8667
"fresno",465183,36.7478,-119.771
"lyon",463700,45.7485,4.84671
"kananga",463556,-5.89583,22.4178
"bloemfontein",463084,-29.1211,26.214
"xiangfan",462956,32.0422,112.145
"gdansk",461865,54.3609,18.6583
"calabar",461832,4.9517,8.322
"panzhihua",461513,26.5479,101.705
"joinville",461312,-26.3,-48.8333
"zamboanga",460879,6.91025,122.072
"mixco",460576,14.6333,-90.6064
"antwerp",459805,51.2167,4.41667
"new orleans",459336,29.9544,-90.075
"ichikawa",458249,35.7197,139.925
"ujjain",457395,23.1833,75.7667
"kirov",457387,58.5967,49.6601
"kota kinabalu",457375,5.9749,116.072
"durango",457154,24.0333,-104.667
"niteroi",456461,-22.9021,-43.1303
"hengshui",456356,37.7322,115.701
"chitungwiza",456206,-17.9939,31.0481
"santa fe",456044,-31.6295,-60.701
"pontianak",455226,-0.033333,109.333
"leeds",455124,53.8,-1.58333
"sao joao de meriti",454855,-22.7986,-43.3609
"bacolod",453954,10.6677,122.953
"manado",451910,1.487,124.845
"jining",450327,35.405,116.581
"constantine",450126,36.365,6.61472
